식품대분류명,식품명,대표식품명,식품중분류명,식품소분류명,식품세분류명,제목,재료,레시피
국 및 탕류,김치국,김치국,해당없음,해당없음,해당없음,TV cuisine) Excellent spicy taste ★ Cha Seung-won's Kimchi soup,"Old paper, green onion, anchovy kelp stock, clams, coarse red pepper powder, fine red pepper powder, salt","Slice the green onion and cut the aged paper into bite-sized pieces. When the anchovy kelp stock boils, add the aged paper, coarse red pepper powder, fine red pepper powder, salt, and clams. After boiling, add green onions to finish."
국 및 탕류,김치국_콩나물,김치국,콩나물,해당없음,해당없음,TV cuisine) Excellent spicy taste ★ Cha Seung-won's Kimchi soup,"Old paper, green onion, anchovy kelp stock, clams, coarse red pepper powder, fine red pepper powder, salt","Slice the green onion and cut the aged paper into bite-sized pieces. When the anchovy kelp stock boils, add the aged paper, coarse red pepper powder, fine red pepper powder, salt, and clams. After boiling, add green onions to finish."
국 및 탕류,내장탕,내장탕,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,냉국_미역,냉국,미역,해당없음,해당없음,Seaweed Cucumber Cold Soup that appeals to your taste buds in hot summer,"Cucumber, seaweed, red pepper, whole garlic, green pepper, mineral water, sugar, vinegar, salt, sesame, ice","Add broth ingredients except sesame and ice to 600ml of mineral water, mix, and refrigerate. Cut the long ones. Seaweed 10g If you boil seaweed, you can get rid of the fishy taste. Slice the cucumber thinly, chop the red and green peppers, and cut the garlic into thin slices. 2/3 cucumber, 1/2 red pepper, 1 whole garlic, 1/2 green pepper If you want it spicy, chop the cheongyang pepper. . Put the prepared seaweed and vegetables in the cold stock, and sprinkle with ice and sesame seeds to finish. 1/2T of sesame seeds, a little ice It doesn't matter if you don't add ice, but if you add too much, the broth may become bland."
국 및 탕류,냉국_미역_오이,냉국,미역,오이,해당없음,Seaweed Cucumber Cold Soup that appeals to your taste buds in hot summer,"Cucumber, seaweed, red pepper, whole garlic, green pepper, mineral water, sugar, vinegar, salt, sesame, ice","Add broth ingredients except sesame and ice to 600ml of mineral water, mix, and refrigerate. Cut the long ones. Seaweed 10g If you boil seaweed, you can get rid of the fishy taste. Slice the cucumber thinly, chop the red and green peppers, and cut the garlic into thin slices. 2/3 cucumber, 1/2 red pepper, 1 whole garlic, 1/2 green pepper If you want it spicy, chop the cheongyang pepper. . Put the prepared seaweed and vegetables in the cold stock, and sprinkle with ice and sesame seeds to finish. 1/2T of sesame seeds, a little ice It doesn't matter if you don't add ice, but if you add too much, the broth may become bland."
국 및 탕류,달걀국,달걀국,해당없음,해당없음,해당없음,Recommended for breakfast menu bb Egg soup that makes you feel strong,"Egg, Cheongju, Salt, Anchovy kelp stock 2cup (500ml), Green onion 10cm, Red pepper, Soy sauce, Salt, Pepper","Prepare the green onion and red pepper by slicing them diagonally. 1 green onion, 1/2 red pepper, 2 eggs, rice wine, and salt in a bowl, whisk well and sieve through a sieve. 1T Cheongju, a pinch of salt, anchovy kelp in a sieve pot Add 400ml of broth and boil it a little bit, season with soy sauce, then season with salt. 1/2T of soy sauce, a little bit of salt Pour the egg water around the edge of the pot and stir once with a spoon. If you stir too much, the soup will become cloudy, so stir only once or twice. Add the prepared green onion and red pepper and add pepper to finish. A little bit of pepper"
국 및 탕류,달걀탕_순두부,달걀탕,순두부,해당없음,해당없음,Spicy and Deep Taste♥Chinese Egg Soup,"Egg, onion, shredded shiitake, enoki mushroom, shredded bamboo shoots, pork (green), shredded green onion, shredded garlic, starch water, chicken stock, oyster sauce, soy sauce, vinegar, pepper","Pour chicken stock into a pot, add pork and loosen with chopsticks. Add onion, green onion, garlic, shiitake, top and bamboo shoots and bring to a boil. It removes bubbles. - If you remove the bubbles, impurities are removed and it comes out clear. Season with oyster sauce, soy sauce, vinegar and pepper. Add starch to adjust the concentration. Add the beaten eggs and stir gently 2-3 times to complete."
국 및 탕류,닭곰탕,닭곰탕,해당없음,해당없음,해당없음,Hot with Chicken Gomtang Noodles~ Warming up with convenience store dishes~_~,"Sari gomtang ramen, chicken breast, green onion, cheongyang pepper, minced garlic, water","Slice green onion and red pepper diagonally. Put chicken breast and minced garlic in 2 paper cups of water and boil. When the water boils, add ramen soup and ramen noodles and bring to a boil. Add green onion and red pepper and boil for a while."
국 및 탕류,도가니탕,도가니탕,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,된장국_배추,된장국,배추,해당없음,해당없음,Cabbage is also delicious when boiled in miso soup! Cabbage Miso Soup,"1/4 of cabbage (200g), 1 handful of oyster mushrooms (100g), 1/2 head of tofu (150g), green pepper, red pepper, anchovy for broth, 1 kelp (10X10cm), 5 cups of water (1L), soybean paste , chopped garlic","Put the broth ingredients in a pot, and when it boils over medium heat, reduce the heat to medium-low heat and boil for 15 minutes more. Dissolve soybean paste without lumps and put cabbage and boil over medium heat. When it boils over medium heat, boil 1/4 cabbage (200g), soybean paste, add mushrooms, tofu, red pepper, green onion, and minced garlic. , 1/2 tofu (150g), 1 green pepper, 1 red pepper, 1T minced garlic"
국 및 탕류,된장국_시금치,된장국,시금치,해당없음,해당없음,It tastes soft and clean! Spinach miso soup,"Spinach, green onion 10cm, cheongyang pepper, anchovy kelp stock, raw shrimp, soybean paste, minced garlic, soy sauce","Clean and prepare spinach, cut green onion diagonally, and cut cheongyang red pepper to prepare. 1/2 tier of spinach, 2 leeks 10cm, 1 cheongyang pepper Dissolve soybean paste in anchovy kelp stock and boil for a bit. 1L anchovy kelp stock, soybean paste Bring to a boil in a 2T pot, then add minced garlic and shrimp and bring to a boil. Add 1T minced garlic, 1/2cup raw prawns and spinach, and if the seasoning is weak, season with 1T soy sauce. When the spinach dies, add minced garlic, cheongyang red pepper, and green onion and boil a little more."
국 및 탕류,된장국_아욱,된장국,아욱,해당없음,해당없음,What if your body has a lot of heat?♥ Mallow miso soup,"Trimmed mallow, dried shrimp, anchovy kelp stock, soybean paste, minced garlic, enoki mushroom","Cut the trimmed mallow into bite-size pieces. Pour the broth into the pot and dissolve the miso. Add mallow, dried shrimp, and minced garlic and bring to a boil. Add the enoki mushrooms and turn off the heat."
국 및 탕류,매운탕_대구,매운탕,대구,해당없음,해당없음,Perfect as a side dish with hot sake! Uruk spicy soup☆,"Uruk, radish, water parsley, green onion (10cm), onion, cheongyang pepper, anchovy kelp stock, red pepper powder, red pepper paste, soy sauce, soy sauce, minced garlic, minced ginger, rice wine, pepper, enoki mushroom, mushroom","Cut the radish into large strips, cut the water parsley into 5cm pieces, shred the onion coarsely, cut the cheongyang red pepper, cut the green onion diagonally. 150g radish, 50g water parsley, 1/4 onion, 2 Cheongyang pepper, 2 green onion (10cm) Put the seasoning ingredients in a large bowl and mix them to ripen for a while. [Seasoning ingredients] Red pepper powder 2T, red pepper paste 1T, soy sauce 1T, dark soy sauce 2T, minced garlic 1T, minced ginger 1t, Cheongju 1T, pepper Put anchovy kelp stock in a pot. Add radish and boil for 5 minutes. 1400ml pot of anchovy kelp broth Dissolve the marinated sauce in the broth and add the prepared fish. Close the lid of 2 turkeys and boil for a little while, then add water parsley, onion, green onion, cheongyang red pepper, and mushrooms. Close the lid and add a little more. Boil 50g water parsley, 1/4 onion, 2 green onion (10cm), 2 cheongyang red pepper, 40g mushroom Open the lid and place enoki mushrooms to finish. 1/2 enoki mushrooms"
