식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,에너지,수분,단백질,지질,회분,탄수화물,당류,총식이섬유,칼슘,철,인,칼륨,나트륨,비타민 A,레티놀,베타카로틴,티아민,리보플라빈,니아신,비타민 C,비타민 D,콜레스테롤,총포화지방산,트랜스지방산,출처코드,출처명,1회 섭취참고량,외식업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D105-007000000-0001,김치국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05007,김치국,0500700,해당없음,050070000,해당없음,00,해당없음,23,94.4,1.34,0.76,0.83,2.63,0.03,0.7,12,0.15,30,105,208,1,0,13,0,0.07,0.238,0.44,0,4.78,0.19,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-007280000-0001,김치국_콩나물,D,음식,1,가정식(분석 함량),05,국 및 탕류,05007,김치국,0500728,콩나물,050072800,해당없음,00,해당없음,12,96.8,0.82,0.47,0.8,1.15,0.49,0.6,10,0.16,20,125,230,3,0,32,0.75,0.04,0.97,0.35,0,0.6,0.09,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-010000000-0001,내장탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05010,내장탕,0501000,해당없음,050100000,해당없음,00,해당없음,71,87.2,5.82,4.52,0.78,1.68,0.05,1.9,10,1.05,51,78,216,27,1,314,0.088,0.073,0,7.66,0,63.89,1.78,0.01,3,식품의약품안전처,600,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-011100000-0001,냉국_미역,D,음식,1,가정식(분석 함량),05,국 및 탕류,05011,냉국,0501110,미역,050111000,해당없음,00,해당없음,37,90.8,0.19,0.67,0.88,7.51,4.49,0.4,24,0.65,55,116,148,0,0,0,0,0.003,0.026,0.21,0,0,0.01,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-011100100-0001,냉국_미역_오이,D,음식,1,가정식(분석 함량),05,국 및 탕류,05011,냉국,0501110,미역,050111001,오이,00,해당없음,6,97.7,0.37,0.15,0.94,0.85,0.69,0.7,13,0.14,7,30,327,3,0,38,0.097,0.006,0.034,0,0,0,0.01,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-012000000-0001,달걀국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05012,달걀국,0501200,해당없음,050120000,해당없음,00,해당없음,13,97,0.93,0.74,0.64,0.69,0,0.2,5,0.2,20,19,246,0,0,0,0,0.033,0,0,0,31.11,0.27,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-013180000-0001,달걀탕_순두부,D,음식,1,가정식(분석 함량),05,국 및 탕류,05013,달걀탕,0501318,순두부,050131800,해당없음,00,해당없음,29,94.7,1.78,2.04,0.56,0.94,0,0.8,13,0.37,35,108,101,13,8,64,0.249,0.08,0.246,0.47,0,34.05,0.37,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-014000000-0001,닭곰탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05014,닭곰탕,0501400,해당없음,050140000,해당없음,00,해당없음,51,88.2,7.51,1.42,0.88,2,0.3,0.7,9,0.29,91,156,170,2,2,6,0.048,0.118,3.071,0.04,0,36.02,0.3,0,3,식품의약품안전처,650,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-015000000-0001,도가니탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05015,도가니탕,0501500,해당없음,050150000,해당없음,00,해당없음,40,90,8.35,0.33,0.48,0.82,0,1.3,8,1.89,13,29,150,0,0,0,0.192,0.01,0.106,3.19,0,18.34,0.13,0.01,3,식품의약품안전처,500,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016010000-0001,된장국_감자,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501601,감자,050160100,해당없음,00,해당없음,25,93.4,1.09,0.6,1.24,3.7,0.77,0.6,18,0.52,47,132,357,0,0,0,0.208,0.01,2.263,0,0,0,0.05,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
