id,name,summary,ingre,recipe
1,#홈스토랑 라따뚜이그라탕,"라따뚜이를 응용한 그라탕!펜네 위에 토마토소스, 치즈를 얹고그 위에 토마토, 주키니, 토마토를 올려요오븐에서 맛있게 구워주고맛있게 떠먹으면 끝~","토마토, 가지, 애호박, 펜네, 토마토소스, 파마산치즈, 피자치즈, 소금, 후추, 파슬리가루","토마토, 가지, 애호박은 약 0.5cm 두께로 썰어 준비해요.  썰어놓은 토마토, 가지, 애호박에 소금, 후추 밑간을 해요.  끓는 물에 펜네를 넣고 소금을 약간 넣어 약 80%만 삶아내요.(약 10분)  오븐, 또는 에어프라이어용 그릇에 토마토 소스를 담고 펜네, 모짜렐라치즈, 소금, 후추, 파슬리가루를 넣어 섞어요.  위에 밑 간한 토마토, 가지, 애호박을 번갈아 올려요. 파마산 치즈가루와 파슬리가루를 골고루 뿌려요. 180도에 예열된 오븐이나 에어프라이어에 약 10~15분간 구워 완성해요.오븐"
2,[만개백과] EP. 21 길거리 토스트 맛을 집에서 햄치즈토스트,"집에서 만들어먹는 햄치즈토스트양배추, 당근을 넣고 부친 계란과햄, 치즈까지 넣어 길거리토스트 느낌 물씬~","식빵, 슬라이스햄, 체다치즈, 캔옥수수, 양배추, 당근, 달걀, 버터, 시판키위소스, 케찹","양배추, 당근은 얇게 채 썰어 준비해요. 볼에 달걀, 소금 약간, 옥수수를, 양배추, 당근을 넣어 섞어 달걀물을 만들어요.기호에 따라 양파를 함께 넣어도 좋아요. 예열된 팬에 버터는 녹여 식빵을 앞 뒤로 노릇하게 구워 내요.버터 대신 식용유, 마가린, 올리브유로 데체해도 좋고 토스트기를 이용해도 좋아요. 채소를 넣은 달걀물은 식빵 크기에 맞춰 프라이 해요 슬라이스 햄을 앞 뒤로 구워요. 식빵 2장에 키위 소스를 바르고 달걀, 햄, 체다치즈, 케찹, 식빵 순서로 올려 완성해요.키위 소스는 딸기쨈 또는 달달한 잼류를 이용해도 좋아요."
3,"순식간에 만드는 반찬, 마른미역자반","순식간에 만드는 반찬, 마른미역자반반찬이 필요할때 순식간에 만들어보세요!밥 위에 솔솔 뿌려주면 이만한 반판이 없어요.","마른미역, 들기름, 식용유, 설탕, 간깨","팬에 들기름, 식용유를 두르고 달군다.  기름이 달궈지면 마른 미역을 넣고 튀기듯 볶는다.미역을 잘라서 준비하거나 자른 미역을 준비해요. 미역이 바삭해지면 키친타월에 펼친다. 튀긴 미역에 설탕, 간 깨를 넣고 가볍게 섞는다."
4,[TV요리] 어남선생의 돼된찌,역시 어남선생이야..! 어남선생이 또 일냈다!고기러버라면 딱인 어남선생의 돼된찌수육용 고기로 이런 맛이 가능하다니~,"돼지앞다리살, 대파, 양파, 애호박, 무, 두부, 소금, 된장, 다진마늘, 설탕, 액젓, 간장, 고춧가루, 물, 식용유","양파, 호박은 적당한 크기로 썰고 무, 두부는 크게 썰어요.두부를 뜨거운 물에 담가 놓으면 속까지 따뜻하게 먹을 수 있어요헹켈 5스타 5종 블럭세트(엠보식도) HK30133-005 대파는 뚜껍게 송송 썰고 앞다리살은 크게 썰어요. 기름을 두른 스테인리스 냄비에 고기를 넣고 소금을 뿌린 다음 약불에서 겉면을 익혀요. 다진 마늘과 대파를 넣은 다음 설탕, 간장, 액젓, 된장을 넣고 볶아요. 물을 넣고 뚜껑을 덮은 채로 15~20분간 중불로 끓여요. 무, 고춧가루를 넣고 15분~20분간 중불로 끓여요. 무가 투명 해지면 양파, 호박을 넣고 3분간 끓여요. 불을 끈 채로 두부를 넣어 완성해요."
5,화덕만두 느낌으로 프라이팬에 구워낸 고구마치즈빵,찐고구마와 치즈 속이 가득반죽 속에서 부드럽게 느껴지는고구마와 치즈의 풍미오븐도 에프도 필요없는 디저트 레시피!화덕만두 느낌으로 프라이팬에 구워낸 고구마치즈빵,"찐고구마, 마요네즈, 꿀, 모짜렐라치즈, 버터, 밀가루강력분, 우유, 녹인버터, 소금","볼에 밀가루, 우유, 녹인 버터, 소금을 넣고 반죽한다. 반죽이 한 덩어리가 되면 손으로 치댄다. 랩을 씌워 실온에서 30분 정도 둔다. 볼에 고구마를 으깬 후 마요네즈, 꿀을 넣고 섞는다. 반죽을 밀대로 펼친 후 치즈, 고구마반죽을 올린다.  반죽의 가장자리를 모아서 붙이고 밀대로 펼친다. 팬에 버터를 녹인 후 반죽을 앞뒤로 노릇하게 굽는다. "
6,[만개백과] EP. 20 누구나 좋아하는 부대찌개,얼큰한 국물에 햄과 소시지를 듬뿍!거기에 라면사리까지 넣어주면식사로도 안주로도 완벽한 ‘부대찌개’,"스팸200g, 프랑크소시지, 김치, 다진돼지고기, 두부, 양파, 대파, 사골육수, 물, 고추장, 고춧가루, 간장, 맛술, 다진마늘, 후추, 베이크드빈, 라면사리, 체다치즈","스팸, 프랑크소시지, 두부, 는 한 입 크기로 썰고, 양파는 굵게 채 썰고 대파는 어슷 썰어 준비해요.  볼에 분량의 양념 재료를 넣어 양념장을 만들어요.맛술이 없으면 생략하고 설탕이나 올리고당을 약 1/4숟가락 넣어요. 준비한 재료를 냄비에 보기 좋게 둘러 담아요.  만들어 놓은 양념장을 3/2정도 올려요. 사골육수와 물을 재료가 잠길 수 있게 육수를 부어요.기호에 따라 사골육수의 양을 늘려도 좋아요. 한소끔 끓으면 베이크드 빈을 넣어 중약불로 약 10분간 더 끓여 완성해요.베이크드빈은 생략 가능해요. 기호에 따라 라면 사리와 슬라이스 체다 치즈를 곁들여요.끓이면서 먹다가 사골육수 또는 물을 추가 하고 싱거우면 남은 양념장을 추가해 주세요."
7,"서리태콩국수 만들기, 얼음동동 여름철 별미!",폭염으로 인해 지치고 피로감을 느끼기 쉬운 요즘 같은 날씨!얼음을 동동 띄운 꼬수운 서리태 콩국수 어떠신가요??만들기 까다로운 줄만 알았던 서리태 콩국수 만들기!엔유씨 초고속 진공 방음블렌더로영양만점 여름철 별미 서리태 콩국수를 만들어 보세요 ~ ( ????? )영상 속 제품이 궁금하다면?> https://bit.ly/3HMlhYx,"검은콩, 땅콩, 참깨, 물, 소면, 소금","검은콩을 불려 냄비에 물 1L와 넣고, 15분 삶아요. 콩 삶은 물은 버리지 않아요. 삶은 콩, 땅콩, 참깨, 콩 삶은 물을 모두 넣고 갈아요. 농도에 따라 콩 삶은 물을 가감해요. 기호에 맞게 소금으로 간해요. 끓는물에 면을 삶고, 찬물에 헹궈요. 그릇에 면을 담고 콩국을 부어요."
8,"아보카도장어덮밥, 여름철 보양식도 건강하고 안전하게!","무더운 여름이면 몸도 마음도 지쳐 보양식을 찾게 되죠.민물장어 등 여름에 제철인 수산물로요리한 보양식은 활력 충전에 도움이 되는데요.여기서 잠깐!매년 여름에는 '비브리오균'이 유행하므로수산물을 요리할 때 위생·안전을 꼭 챙겨주세요.(특히 85℃에서 1분 이상 익혀 먹기!)가장 좋은 보양식은① 위생적인 시설에서 안전하게 생산된 수산물을 구매해(Tip. 양식장 HACCP 인증 마크 확인)② 위생·안전수칙을 지켜 조리해 먹는(Tip. https://bit.ly/39YbRfZ 이곳에서 수칙 확인)것이라는 사실, 매년 여름 기억해주세요~* 본 콘텐츠는 해양수산부와 한국해양수산개발원이 시행하는리스크커뮤니케이션 홍보 사업비의 일부로 제작되었습니다.","장어, 아보카도, 양파, 달걀, 밥, 무순, 와사비, 소금, 후추, 맛술또는청주, 생강초, 간장, 맛술, 다진마늘, 올리고당","장어 껍질을 칼로 긁어 점액질을 제거해요. 살 쪽에 가로로 칼집을 내요. 장어를 소금, 후추, 맛술로 밑간해요. 양파를 얇게 채 썰고 찬물에 담가 매운맛을 제거해요. 팬에 양념 재료를 넣고 살짝 졸여요. 팬에 기름을 두르고 달걀지단을 부쳐요.스크램블을 만들어도 좋아요. 팬에 기름을 두르고 장어를 껍질부터 노릇하게 구워요. 장어가 거의 다 익을 즈음 양념을 바르고, 약불에 살짝 구워요.양념장을 부어 조려도 좋아요. 달걀지단은 채 썰고, 장어는 한입 크기로 썰어요. 아보카도 씨와 껍질을 제거하고 슬라이스해요. 그릇에 밥을 담고 달걀, 장어, 아보카도, 무순, 양파, 생강초, 와사비를 올려요."
9,[만개백과] EP. 19 보글보글 소리부터 즐거운 순두부찌개,보글보글 찌개 끓는 소리는 항상 우리 배를 자극하는데요.부드러운 순두부에 고소한 계란까지 톡!‘순두부찌개’는 얼큰하고 시원한 맛으로언제나 사랑받는 찌개랍니다!,"순두부, 양파, 대파, 물, 국간장, 굴소스, 고춧가루, 다진마늘, 해물믹스, 청양고추, 달걀","양파는 깍둑 썰고 대파는 송송 썰어 준비해요.양파는 깍둑 썰고 대파는 송송 썰어 준비해요. 볼에 양념 재료를 넣고 양념장을 만들어요.국간장 대신 양조간장, 진간장 사용 가능해요. 냄비에 식용유를 넉넉히 두르고 양파와 대파를 넣어 약불에서 볶아요. 아이젠베르그 에스트 FULL 인덕션 냄비 볶아진 재료에 양념장을 넣어 한 번 더 볶아요. 볶아진 양념에 모둠 해물, 순두부, 물을 넣어 한소끔 끓여요.순두부는 봉지를 깨끗이 씻어 칼로 반 잘라 냄비에 넣어요. 멸치 육수를 사용해도 좋아요. 달걀을 넣어 한소끔 끓여 완성해요.기호에 따라 달걀을 생략해도 좋아요."
10,"국은 필요한데 마땅한게 없을때, 참치미역국",참치를 넣고 고소하게 끓인 미역국국은 필요한데 마땅한게 없을때!참치캔 활용해서 국 끓여보세요,"자른미역, 참치통조림, 다진마늘, 국간장, 액젓, 들기름, 물","미역은 물에 불려 준비한다. 참치통조림은 체에 밭쳐 기름을 빼고 기름은 남겨둔다.  달군 냄비에 참치통조림의 기름, 들기름을 두르고 불린 미역을 볶는다. 코첼라 루나 세라믹 인덕션겸용 냄비 국간장을 넣고 볶다가 물을 넣어 끓인다. 물이 끓으면 다진마늘, 참치통조림을 넣고 끓인다. 액젓으로 간을 맞춰 완성한다."
