,구분,음식명,영문,음식설명,식품명,식품대분류명
0,떡,가래떡,Cylindrical Rice Pasta,Cylindrical rice pasta sliced diagonally into ovals. Cooked in a beef broth to make a traditional soup for New Year's Day.,가래떡,"곡류, 서류 제품"
1,찜,가오리찜,Steamed Stingray ,"Marinated stingray steamed and served with thinly sliced mushrooms, vegetables, and julienned egg garnish.",가오리찜,찜류
2,구이,가자미구이,Grilled Sole ,"Sole seasoned with salt then grilled, often topped with a spicy soy sauce.",가자미구이,구이류
3,젓갈,가자미식해,Spicy Fermented Sole,"A spicy dish of sole mixed with cooked millet and white radish, and seasoned with red chili pepper powder and garlic. Famous in the Hamgyeong-do region of North Korea.",가자미식해,장아찌·절임류
4,조림,가자미조림,Braised Sole ,"Sole seasoned with soy sauce, sugar, green onions, garlic and red chili pepper powder, then slowly simmered over low heat to reduce the liquid.",가자미조림,조림류
5,"전,적",가지전,Pan-fried Eggplant ,"Eggplant slices coated with flour, dipped in egg, and pan-fried.",가지전,전·적 및 부침류
6,구이,갈비구이,Marinated and Grilled Beef Short Ribs ,"Beef short ribs marinated in a mixture of soy sauce, green onions, garlic, black pepper, sugar and sesame oil for a few hours, then grilled. Marinated short ribs are called yangnyeom-galbi and ribs which are not marinated are called saenggalbi. Galbi-gui is also known as bulgalbi. This is one of the most popular dishes in Korea.",갈비구이_쇠고기,구이류
7,구이,갈비구이,Marinated and Grilled Beef Short Ribs ,"Beef short ribs marinated in a mixture of soy sauce, green onions, garlic, black pepper, sugar and sesame oil for a few hours, then grilled. Marinated short ribs are called yangnyeom-galbi and ribs which are not marinated are called saenggalbi. Galbi-gui is also known as bulgalbi. This is one of the most popular dishes in Korea.",갈비구이_쇠고기_양념,구이류
8,구이,갈비구이,Marinated and Grilled Beef Short Ribs ,"Beef short ribs marinated in a mixture of soy sauce, green onions, garlic, black pepper, sugar and sesame oil for a few hours, then grilled. Marinated short ribs are called yangnyeom-galbi and ribs which are not marinated are called saenggalbi. Galbi-gui is also known as bulgalbi. This is one of the most popular dishes in Korea.",갈비구이_왕갈비_양념,구이류
9,찜,갈비찜,Braised Short Ribs,"Beef short ribs cut into chunks, seasoned with soy sauce, garlic, sugar and other spices, then simmered over a long period with pieces of Korean radish, carrots, chestnuts, jujubes, and ginkgo nuts. The dish is topped with julienned egg garnish and ground pine nuts.",갈비찜_쇠고기,찜류
10,찜,갈비찜,Braised Short Ribs,"Beef short ribs cut into chunks, seasoned with soy sauce, garlic, sugar and other spices, then simmered over a long period with pieces of Korean radish, carrots, chestnuts, jujubes, and ginkgo nuts. The dish is topped with julienned egg garnish and ground pine nuts.",갈비찜_고춧가루,찜류
11,찜,갈비찜,Braised Short Ribs,"Beef short ribs cut into chunks, seasoned with soy sauce, garlic, sugar and other spices, then simmered over a long period with pieces of Korean radish, carrots, chestnuts, jujubes, and ginkgo nuts. The dish is topped with julienned egg garnish and ground pine nuts.",갈비찜_쇠고기,찜류
12,구이,갈치구이,Grilled Hairtail ,"Hairtail (a long, flat silver fish) cut into 10 centimeter lengths and grilled with salt.",갈치구이_기름,구이류
13,서류,감자,Potato ,,감자_찐감자,찜류
14,볶음,감자볶음,Sauteed Potato ,Julienned potatoes sauteed in oil and served as a side dish.,감자볶음,볶음류
15,볶음,감자볶음,Sauteed Potato ,Julienned potatoes sauteed in oil and served as a side dish.,감자볶음_채소,볶음류
16,"전,적",감자전,Pan-fried Potato ,Thin slices of potato dipped in a flour batter and pan-fried.,감자전,전·적 및 부침류
17,조림,감자조림,Braised Potato ,"Cubed potatoes braised with fish or dried anchovies, soy sauce and oil. Served as a side dish.",감자조림,조림류
18,조림,감자조림,Braised Potato ,"Cubed potatoes braised with fish or dried anchovies, soy sauce and oil. Served as a side dish.",감자조림_(삼삼한밥상(Ⅶ))곤약 감자조림,조림류
19,김치,갓김치,Mustard Leaf Kimchi ,"A kimchi made of gat, a kind of mustard leaf. The stems and leaves are seasoned with pickled anchovy sauce. The strong flavor of the mustard leaf and the anchovy is what makes this kimchi popular.",갓김치,김치류
20,김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.,겉절이_배추,생채·무침류
21,김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.,겉절이_상추,생채·무침류
22,김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.,겉절이_열무,생채·무침류
23,김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.,겉절이_치커리,생채·무침류
24,김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.,겉절이_(삼삼한밥상(Ⅶ))무염 겉절이,김치류
25,김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.,겉절이_(삼삼한밥상(Ⅶ))저염 겉절이,김치류
26,떡,경단,Sweet Rice Balls ,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans.",경단_깨,"곡류, 서류 제품"
27,떡,경단,Sweet Rice Balls ,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans.",경단_깨,"곡류, 서류 제품"
28,떡,경단,Sweet Rice Balls ,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans.",경단_찹쌀_카스텔라,"곡류, 서류 제품"
29,떡,경단,Sweet Rice Balls ,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans.",경단_콩,"곡류, 서류 제품"
30,서류,고구마,Sweet Potato ,,고구마_찐고구마,찜류
31,"전,적",고구마전,Pan-fried Sweet Potato ,"Slices of sweet potato dipped in flour and egg, then pan-fried.",고구마전,전·적 및 부침류
32,마른찬,고구마튀김,Deep-fried Sweet Potato ,Sweet potato cut into thin oval slices or strips and deep-fried.,고구마튀김_(눈치떡)고구마 튀김,튀김류
33,마른찬,고구마튀김,Deep-fried Sweet Potato ,Sweet potato cut into thin oval slices or strips and deep-fried.,고구마튀김,튀김류
34,김치,고들빼기김치,Godeulppaegi Kimchi ,A strongly flavored kimchi made with a wild flowering plant (godeulppaegi) which has been soaked in water for up to ten days to remove its bitter taste.,고들빼기김치,김치류
35,조림,고등어조림,Braised Mackerel ,"Mackerel seasoned with soy sauce, green onions, garlic and red chili pepper powder, then braised over low heat until reduced.",고등어조림,조림류
36,장아찌,고추장아찌,Pickled Green Chili Peppers ,"Young green chili peppers are pickled in salt and water for a week, then mixed with a salty, spicy sauce.",고추장아찌,장아찌·절임류
37,"전,적",고추전,Pan-fried Stuffed Green Chili Peppers ,"Green chili peppers cut lengthwise and stuffed with ground beef. The stuffed peppers are then coated in flour, dipped in egg, and pan-fried.",고추전,전·적 및 부침류
38,조림,고추조림,Braised Green Chili Peppers ,"Side dish made of young green chili peppers braised in soy sauce with beef, clams, dried squid, or dried anchovies until reduced.",고추조림,조림류
39,생채,골뱅이무침,Spicy Freshwater Snails ,Cooked freshwater snail tossed with chopped fresh vegetables and a spicy sauce.,골뱅이무침_소면,생채·무침류
40,생채,골뱅이무침,Spicy Freshwater Snails ,Cooked freshwater snail tossed with chopped fresh vegetables and a spicy sauce.,골뱅이무침,생채·무침류
41,구이,곱창구이,Grilled Beef Tripe ,Beef tripe seasoned with spices or salt and grilled.,곱창구이_쇠고기,구이류
42,전골,곱창전골,Spicy Beef Tripe Hot Pot ,"A spicy, flavorful hot pot of vegetables and seasoned beef tripe cooked in a beef broth.",곱창전골_쇠고기,찌개 및 전골류
43,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥,밥류
44,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_굴,밥류
45,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_돼지고기,밥류
46,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_소머리,밥류
47,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_쇠고기,밥류
48,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_돼지머리,밥류
49,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_순대국밥,밥류
