id,카테고리명,분류기준,식품명,설명,ingre,recipe
1,양식,그라탕류,라따뚜이그라탕,"It is a gratin using ratatouille, a traditional vegetable stew enjoyed in Provence, France.","Tomato, eggplant, zucchini, penne, tomato sauce, parmesan cheese, pizza cheese, salt, pepper, parsley powder","Prepare tomatoes, eggplant, and zucchini by cutting them into about 0.5cm thick. Season the sliced ​​tomatoes, eggplants and zucchini with salt and pepper. Put penne in boiling water and add a little salt to boil about 80% (about 10 minutes). Put tomato sauce in an oven or air fryer bowl, and mix with penne, mozzarella cheese, salt, pepper and parsley. Alternately place the grated tomatoes, eggplant and zucchini on top. Sprinkle evenly with Parmesan cheese and parsley. Bake in an oven or air fryer preheated to 180 degrees for about 10 to 15 minutes. Oven"
2,간식,토스트류,햄치즈토스트,Sliced ​​ham and cheese are placed on bread and then baked in the oven.,"White bread, sliced ​​ham, cheddar cheese, canned corn, cabbage, carrot, egg, butter, commercially available kiwi sauce, ketchup","Prepare the cabbage and carrots by slicing them thinly. Mix eggs, a little salt, corn, cabbage, and carrots in a bowl to make egg water. You can also add onions if you like. Melt the butter in a preheated pan and bake the bread from front to back. Instead of butter, you can blanch it with cooking oil, margarine, or olive oil, or use a toaster. Fry the egg mixture with vegetables according to the size of the bread. Bake the sliced ​​ham on the front and back. Spread kiwi sauce on 2 slices of bread and put it in the order of egg, ham, cheddar cheese, ketchup, and white bread. You can use strawberry jam or sweet jam for kiwi sauce."
3,밑반찬,건어물류,마른미역자반,It is a side dish of dried seaweed fried in oil and sprinkled with sugar and salt.,"Dried seaweed, perilla oil, cooking oil, sugar, ground sesame","Heat perilla oil and cooking oil in a pan. When the oil is hot, add dried seaweed and stir-fry as if frying. Cut seaweed or prepare cut seaweed. When the seaweed becomes crispy, spread it on a kitchen towel. Add sugar and ground sesame to fried seaweed and mix lightly."
4,한식,찌개류,돼지고기된장찌개,It is a stew made by slicing pork and putting it in an earthenware pot.,"Pork leg meat, green onion, onion, zucchini, radish, tofu, salt, soybean paste, minced garlic, sugar, fish sauce, soy sauce, red pepper powder, water, cooking oil","Cut the onion and pumpkin into appropriate sizes, and cut the radish and tofu into large pieces. Soak the tofu in hot water to keep it warm. Henkell 5-star 5-piece block set (embossed) HK30133-005 Slice the green onion thickly and cut the front leg Cut the flesh large. Put the meat in a stainless steel pan with oil, sprinkle with salt, and cook the outside over low heat. Add minced garlic and green onion, then add sugar, soy sauce, fish sauce and soybean paste and stir-fry. Add water and cook over medium heat for 15-20 minutes with the lid on. Add radish and red pepper powder and boil over medium heat for 15-20 minutes. When the radish becomes transparent, add the onion and pumpkin and boil for 3 minutes. Turn off the heat and add tofu to finish."
5,간식,빵류,고구마치즈빵,A sweet-tasting bread topped with boiled sweet potatoes and mozzarella cheese on white bread.,"Steamed sweet potato, mayonnaise, honey, mozzarella cheese, butter, strong flour, milk, melted butter, salt","Mix flour, milk, melted butter and salt in a bowl and knead. When the dough becomes a lump, knead it with your hands. Cover with cling film and leave at room temperature for 30 minutes. Mash sweet potatoes in a bowl, add mayonnaise and honey, and mix. Spread out the dough with a rolling pin, then top with cheese and sweet potato dough. Gather the edges of the dough, glue them together, and roll out with a rolling pin. Melt the butter in a pan and bake the dough back and forth until golden brown."
6,한식,찌개류,부대찌개,"It is a stew made by mixing various ingredients such as sausage, ham, fish cake, and ramen noodles.","Spam 200g, frankfurter sausage, kimchi, minced pork, tofu, onion, green onion, bone broth, water, red pepper paste, red pepper powder, soy sauce, cooking wine, minced garlic, pepper, baked de beans, ramen noodles, cheddar cheese","Prepare spam, frankincense, tofu, and cut into bite-size pieces, thinly slice the onion, and cut the green onion diagonally. Put the seasoning ingredients in a bowl to make a sauce. If you do not have cooking wine, omit it and add about 1/4 tablespoon of sugar or oligosaccharide. Put the prepared ingredients around the pot nicely. Add about 3/2 of the seasoning sauce you made. Pour the beef bone broth and water so that the ingredients are submerged. You can increase the amount of bone broth according to your taste. When it boils a little, add the baked beans and boil for about 10 more minutes over medium heat to finish. Baked beans can be omitted. Serve with ramen noodles and sliced ​​cheddar cheese if you like. While boiling, add bone broth or water, and if bland, add the remaining sauce."
7,한식,면류,서리태콩국수,It is a summer delicacy eaten by rolling noodles in bean soup made from ground black beans.,"Black beans, peanuts, sesame seeds, water, somen noodles, salt","Soak black beans, put 1L of water in a pot, and boil for 15 minutes. Do not throw away the water that boiled soybeans. Add boiled soybeans, peanuts, sesame seeds, and boiled soybean water and grind. Depending on the concentration, add or subtract soybean boiled water. Season with salt to your liking. Boil noodles in boiling water and rinse in cold water. Put the noodles in a bowl and pour the bean soup."
8,일식,덮밥류,아보카도장어덮밥,This is a bowl of rice topped with avocado and grilled eel.,"Eel, avocado, onion, egg, rice, radish sprout, wasabi, salt, pepper, cooking wine or rice wine, ginger vinegar, soy sauce, cooking wine, minced garlic, oligosaccharide","Remove the slime by scraping the eel skin with a knife. Make a horizontal cut on the flesh side. Season the eel with salt, pepper and cooking wine. Slice the onion thinly and soak in cold water to remove the spicy taste. Put the seasoning ingredients in a pan and bring to a boil. Grease a pan with oil and fry the scrambled eggs. You can also make scrambled eggs. Heat oil in a pan and cook the eel from the skin to golden brown. When the eel is almost cooked, season it with seasoning and roast it over low heat. You can also pour seasoning sauce on it and cook it. Slice the egg yolks and cut the eel into bite-size pieces. Remove the avocado seeds and skin and slice. Put the rice in a bowl and top with eggs, eel, avocado, radish sprouts, onion, ginger vinegar and wasabi."
9,한식,찌개류,순두부찌개,It is a stew made with soft tofu and spicy sauce.,"Sundubu, onion, green onion, water, soy sauce, oyster sauce, red pepper powder, minced garlic, seafood mix, cheongyang pepper, egg","Prepare the onion by dicing and dicing the green onion. Prepare by dicing the onion and dicing the green onion. Put seasoning ingredients in a bowl and make seasoning sauce. You can use brewed soy sauce or soy sauce instead of soy sauce. Heat plenty of cooking oil in a saucepan, add onion and green onion, and saute over low heat. Eisenberg EST FULL Induction Pot Add seasoning sauce to the roasted ingredients and stir-fry once more. Add seafood, soft tofu, and water to the stir-fried seasoning and bring to a boil. Wash the bag and cut the soft tofu in half with a knife and put it in a pot. You can also use anchovy broth. Add an egg and boil it for a bit. You can omit the egg if you like."
10,한식,국/탕류,참치미역국,It is a dish made by boiling tuna in seaweed soup.,"Cut seaweed, canned tuna, minced garlic, soy sauce, fish sauce, perilla oil, water","Prepare seaweed by soaking in water. Sift canned tuna through a sieve to drain the oil and leave the oil. In a heated pan, put canned tuna oil and perilla oil and fry the soaked seaweed. Coachella Luna Ceramic Induction Pot Add soy sauce and stir-fry, then add water and boil. When the water boils, add minced garlic and canned tuna and bring to a boil. Finish by seasoning with fish sauce."
