번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
1,가오리회무침,"생선류, 식초, 고추가루",무침,"#한식, #요리, #저녁",#해산물,홍어,새콤달콤한 양념에 무쳐낸 가오리회무침입니다.,"가오리, 오이, 미나리, 무, 붉은고추, 막걸리(세척용), 소금(1)절임용, 양 념, 고춧가루, 고추장, 식초, 설탕, 다진파, 다진마늘, 다진생강, 깨소금, 소금(2)","1. 가오리는 내장을 제거한 후 씻어서 1 X 1 X 5cm로 얇게 저며 썬다.2.썰어놓은 가오리에 막걸리를 넣고 세게 주물러 미끈미끈한 것을 제거한 다음 깨끗한 물로 씻어서마른 면포로 물기를 제거해 둔다.3. 오이는 0.3cm 두께로 반달썰기 한 후 소금(1)에 절여 물기를 짜준다.4. 미나리는 5cm 길이로 썬다.5. 무는 5 × 0.3 × 0.3cm로 채썰어준다.6. 붉은 고추는 0.3cm 두께로 어슷썰어준다.[버무리기]7. 오이와 무는 고춧가루로 먼저 붉은색을 들여준다.8. 가오리와 고추장, 식초, 설탕, 다진 파, 마늘, 생강, 깨소금을 넣어 버무린 후 소금(2)으로 간을맞추고 미나리와 붉은고추를 넣어 무친다.사용조미료 : 고추장, 꽃소금, 식초, 고춧가루, 백설탕, 볶음참깨",팜킷,가오리회무침
2,냉채족발,"족발, 식초, 채소류",무침,"#한식, #요리, #음식점, #배달, #저녁",#고기,족발,족발을 해파리냉채와 곁들여 톡 쏘는 겨자소스에 찍어먹는 냉채족발입니다.,"돼지족, 물(1), 소주(1), 양파, 대파, 소금, 마늘, 생강, 통후추, 삼계탕용한방재료, 된장, 커피, 소주(2), 양 념, 간장, 물엿","[끓이기]1. 돼지족을 손질한 후 찬물에 2시간 담가 핏물을 뺸다.2. 돼지족에 물과 소주(1)를 넣어 30분간 삶는다.2. 다 삶은 돼지족은 꺼내 찬물에 씻는다.3. 양파는 반으로 썰고, 대파는 6cm 길이로 썬다.4. 냄비에 돼지족, 양파, 대파, 마늘, 생강, 통후추, 삼계탕용 한방재료를 넣고 물(1)을 부은 후 된장,커피, 소주(2)를 부어 센 불에서 1시간 정도 끓인다.5. 간장과 물엿을 넣은 후 중불로 50분간 끓인다.6. 다 삶아지면 꺼내 1시간 정도 식힌다.[썰기]7. 식으면 6 × 0.3cm 크기로 썬다.사용조미료 : 꽃소금, 통후추, 된장, 진간장, 물엿",팜킷,족발
3,닭갈비,"닭고기, 고추장, 채소류",볶음,"#한식, #요리, #음식점, #배달, #그룹",#탕찌개,닭갈비,춘천식 닭갈비를 집에서도 간편하게 즐길 수 있는 요리입니다.,"닭다리살, 양배추, 고구마, 가래떡, 깻잎, 대파, 양파, 새송이버섯, 팽이버섯, 부추, 모짜렐라치즈, 슬라이스치즈, 파마산치즈가루, 깨소금, 참기름, 김가루, 식용유, 시판 닭갈비양념장","닭다리살은 깨끗하게 씻어 물기를 제거한다. 양배추, 고구마, 가래떡, 깻잎, 대파, 양파, 새송이버섯, 팽이버섯, 부추는 먹기 좋은 크기로 썬다. 오목한 팬에 식용유를 두르고 모든 재료를 넣어 볶는다. 이때 시판 닭갈비양념장을 넣는다. 재료가 거의 다 익으면 모짜렐라치즈와 슬라이스치즈를 올린다. 뚜껑을 덮고 치즈가 녹을 때까지 약한 불에서 익힌다.",Clova AI, 
4,닭발구이,"닭발, 고추장",후라이팬구이,"#한식, #요리, #배달, #저녁",#고기,닭발,콜라겐이 풍부한 닭발을 석쇠에 구워 만든 구이입니다.,"닭발(무뼈), 쌀뜨물, 밀가루, 굵은소금, 닭발 재우기, 배즙, 양파즙, 양념장, 참기름, 고운고춧가루, 고추장, 청주, 간장, 물엿, 맛술, 청양고추, 참기름(볶음용)","1. 손질된 뼈 없는 닭발을 구입해 쌀뜨물을 붓고 밀가루와 굵은소금을 넣어 바락바락 주물러씻은 뒤 물기를 뺀다.2. 씻은 닭발에 배즙과 양파즙을 넣어 버무려 30분 이상 재운다.[양념장 만들기]3. 다진 청양고추, 참기름, 고운 고춧가루, 고추장, 청주, 간장, 물엿, 맛술을 고루 섞어 양념장을 만든다.[닭발 재우기]4. 양념장에 재워두었던 닭발을 넣고 버무린 뒤 간이 배도록 20분 정도 둔다.[볶기]5. 뜨겁게 달군 팬에 참기름을 두르고 볶아 낸다.사용조미료 : 굵은소금, 참기름, 고춧가루, 고추장, 청주, 양조간장, 물엿, 맛술, 참기름",팜킷,닭발구이
5,닭발볶음,"닭고기, 고추장",볶음,"#한식, #요리, #배달, #저녁",#고기,닭발,콜라겐이 풍부한 닭발을 매콤하게 볶아낸 술안주입니다.,"무뼈닭발, 마늘, 양배추, 소주(삶는용), 식용유(볶음용), 닭발 밑간, 소금, 맛술, 후춧가루, 양념장, 맛술, 후춧가루, 고춧가루, 간장, 설탕, 올리고당, 청양고추, 생강즙","1. 닭발은 끓는물에 소주를 넣고 푹 삶아준다.2. 삶은 닭발은 찬물에 씻고 체에 받쳐 물기를 제거한 후 밑간한다.3. 양배추는 3 x 4cm로 썰어준다.4. 마늘은 0.3cm 두께로 편썰어준다.5. 청양고추는 잘 다져준다.[양념장 만들기]6. 후춧가루, 고춧가루, 간장, 설탕, 올리고당, 맛술, 청양고추, 생강즙을 넣고 잘 섞어 양념장을만든다.[볶기]7. 식용유를 두른 팬에 마늘을 넣고 볶다 밑간해둔 닭발을 넣고 3분 정도 볶는다.8. 양념장을 넣고 1분, 양배추를 넣고 2분간 더 볶아준다.사용조미료 : 식용유, 꽃소금, 순후추, 백설탕, 고춧가루, 양조간장, 올리고당, 맛술, 소주",팜킷,닭발볶음
6,돼지갈비구이,"돼지고기, 간장, 설탕",그릴구이,"#한식, #요리, #저녁",#불고기,돼지갈비,돼지갈비를 간장양념에 재운 후 팬에 구운 요리입니다.,"돼지갈비, 양 념, 간장, 흑설탕, 다진양파, 다진마늘, 통깨, 꿀, 돼지갈비 재움 양념, 백포도주, 생강즙, 후춧가루","[양념 및 숙성]1. 돼지갈비는 핏물을 뺀 후 끓는 물에 데쳐낸다.2.1의 돼지갈비에 백포도주, 생강즙, 후춧가루를 넣고 1시간 정도 재워 두었다가 체에 밭쳐 놓는다.3.2의 돼지갈비에 분량의 양념(간장, 흑설탕, 꿀, 다진양파, 다진마늘)을 넣고 양념이 배도록 버무려냉장고에서 하루동안 숙성시킨다.[굽기]4.밑간을 한 돼지갈비를 250℃로 예열된 오븐에 10분 정도 구워 색을 내고 양념이 배어들 때까지170℃에서 15~20분간 더 굽는다.[마무리]5. 완성되면 통깨를 뿌려 낸다.사용조미료 : 양조간장, 흑설탕, 잡화꿀, 볶음참깨, 백포도주, 순후추",팜킷,돼지갈비구이
7,돼지갈비찜,"돼지고기, 간장, 물엿",찜,"#한식, #요리, #음식점",#불고기,돼지갈비,"부드러운 고기를 반찬처럼 먹기도 하고, 남은 양념에는 밥을 비벼 먹기에도 좋은 돼지갈비찜이예요. 명절 단골 메뉴지만, 특별한 날이 아니더라도 별미로 내기 좋죠~ 우리집 식탁을 풍성하게 만들어줄 돼지갈비찜을 아내의 식탁 레시피와 함께 만들어볼까요?","돼지갈비(찜용)%1kg, 무%1/3개, 양파%1개, 표고버섯%4개, 당근%1/2개, 마른고추%2개, 대파(흰부분)%1/2대, 실파%1대, 통깨%약간, 물%2+1/2컵, 물%6컵, 대파(파란부분)%1/2대, 마늘%5쪽, 월계수잎%3장, 통후추%10알, 간장%9큰술, 맛술%4큰술, 설탕%3큰술, 물엿%3큰술, 다진파%2큰술, 다진마늘%1큰술, 참기름%1큰술, 생강가루%1/2작은술, 후춧가루%약간"," 돼지갈비는 찬물에 1시간 정도 담가 핏물을 빼주세요. 냄비에 고기 삶는 물 재료를 넣고 끓으면 돼지갈비를 넣은 후 10분 정도 삶아 찬물에 씻어주세요. 무와 당근, 양파는 큼직하게 자르고, 표고버섯은 4등분으로 잘라주세요. 대파와 마른고추는 어슷하게 썰고, 실파는 송송 썰어주세요. 냄비에 돼지갈비와 양념장, 물을 넣고 강불에서 20분 정도 끓이다가 무와 당근, 마른고추를 넣고 뚜껑을 닫은 후 중약불에서 20분 정도 끓여주세요. 무가 익으면 양파와 표고버섯, 대파를 넣어 국물이 자작해 질 때까지 5분 정도 졸여주세요. 오목한 그릇에 돼지갈비찜을 담고, 통깨와 송송 썬 실파를 뿌려 마무리해주세요.",우리의 식탁,돼지갈비찜
8,돼지고기수육,"돼지고기, 된장",삶기,"#한식, #요리, #음식점, #배달, #저녁",#고기,수육,돼지고기를 된장 푼 물에 삶고 부추무침을 곁들인 수육입니다.,"돼지고기, 풋고추, 마늘, 양 념, 된장, 고춧가루, 다진파, 다진마늘","1. 끓는 물에 돼지고기를 넣고 푹 삶아 0.5cm 두께로 썬다.2. 풋고추는 어슷하게 썰고 마늘은 편 썰기 한다.[쌈장 만들기]3. 양념의 재료(된장, 고춧가루, 다진파, 다진마늘)를 섞어 쌈장을 만든다.[담기]4. 삶은 돼지고기를 접시에 담고 준비된 풋고추, 마늘과 3의 쌈장을 곁들여 낸다.사용조미료 : 된장, 고춧가루",팜킷,돼지고기 수육
9,돼지곱창순대볶음,"돼지내장, 고추가루",볶음,"#한식, #요리, #음식점, #배달, #저녁",#고기,야채곱창,쫄깃쫄깃한 곱창과 부드러운 순대를 매콤하게 볶아낸 볶음요리입니다.,"순대, 곱창, 당면, 양파, 양배추, 깻잎, 양념장, 고추장, 고춧가루, 다진마늘, 다진파, 청주, 설탕, 참기름, 후춧가루, 통깨, 물","1. 순대는 1cm 길이로 썰어준다.2. 돼지곱창은 4cm 길이로 썰어준다.3. 깻잎은 줄기를 제거하고 ¼로 잘라준다.4. 양파는 5cm 길이로 두껍게 채 썬다.5. 양배추는 5cm 길이로 채 썬다.6. 당면은 미지근에 물에 1시간 정도로 불려 준비한다.[양념장 만들기]7. 고추장, 고춧가루, 다진 마늘, 파, 청주, 설탕, 물, 참기름, 후춧가루, 통깨를 섞어 양념장을 만들어준다.[볶기]8. 달군 팬에 손질한 순대, 돼지곱창, 양파, 양배추를 넣고 볶는다.9. 양배추가 숨이 죽으면 양념장을 모두 넣고 볶는다. 양념이 잘 섞이면 당면을 넣고 볶는다.10. 당면이 부드러워지면서 물기가 잦아들면 깻잎을 넣고 가볍게 볶아 완성한다.사용조미료 : 고춧가루, 고추장, 백설탕, 청주, 순후추, 참기름",팜킷,돼지곱창순대볶음
10,모둠보쌈,"돼지고기, 소금, 배추김치",삶기,"#한식, #요리, #음식점, #배달, #저녁",#고기,보쌈,보쌈김치와 다양한 쌈채소를 곁들여 푸짐하게 즐길 수 있는 메뉴입니다.,"삼겹살, 목살, 배추, 알배기배추, 적상추, 치커리, 케일, 겨자잎, 쌈무, 무말랭이, 김치속, 새우젓, 쌈장, 마늘, 고추, 파채, 부추무침","삼겹살과 목살은 각각 덩어리째 실로 묶어 고정시키고, 된장, 커피, 월계수잎, 통후추, 정향, 팔각, 감초, 당귀, 황기, 대추, 대파, 양파, 마늘, 생강, 사과, 배, 파인애플, 키위, 진간장, 올리고당, 설탕, 굵은소금을 넣고 40분 정도 삶는다. 익은 고기는 실을 풀고 0.5cm 두께로 썬다. 배추는 소금물에 절여 줄기 부분만 사용하고, 나머지 잎부분은 겉절이로 무쳐 곁들인다. 알배기배추는 밑동을 자르고 낱장으로 떼어내 씻어서 물기를 뺀다. 적상추, 치커리, 케일, 겨자잎은",Clova AI, 
